dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/hnhrg3	821cc27a-e3bb-4bc5-ac34-89ada245069d	NMNH Extant Specimen Records (USNM, US)	Orrell T,  (2023): NMNH Extant Specimen Records (USNM, US). v1.65. National Museum of Natural History, Smithsonian Institution. Dataset/Occurrence. https://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a&v=1.65	700
10.5281/zenodo.5159420	797184fa-5b39-4a0e-8810-fb8e630838fd	Coleoptera, Staphylinidae Of Guam	Bernhauer, Max (1942): Coleoptera, Staphylinidae Of Guam. In: Insects of Guam I. Bernice P. Bishop Museum: 41-44, DOI: http://doi.org/10.5281/zenodo.5159420	14
10.5281/zenodo.5160297	1df399c6-c920-4862-81a3-dd51f0a28471	Wasps of Guam	Swezey, O. H. (1942): Wasps of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 184-187, DOI: http://doi.org/10.5281/zenodo.5160297	72
10.15468/lrgzz9	6e4b215e-9019-4934-8433-65d80a35c230	New Zealand Arthropod Collection (NZAC)	Manaaki Whenua - Landcare Research (2016-)  New Zealand Arthropod Collection (NZAC) specimen data.	1
10.15468/iv0fi1	a5262686-e9bc-45b4-8b4f-ec2d2321bb3b	First record of Eggplant Mealybug, Coccidohystrix insolita (Hemiptera: Pseudococcidae), on Guam: Potentially a major pest	Moore A, Watson G, Bamba J (2014) First record of Eggplant Mealybug, Coccidohystrix insolita (Hemiptera: Pseudococcidae), on Guam: Potentially a major pest. Biodiversity Data Journal 2: e1042. doi: 10.3897/BDJ.2.e1042	1
10.15468/twdp03	47576eae-c976-4c45-adc2-35d895bb1cbb	University of Hawaii Insect Museum		8
10.15468/8z7axw	56e311e3-43c6-4b99-aa21-af396074d5e3	University of Guam Insect Collection		15300
10.5281/zenodo.556479	4a65facc-ae9e-4379-a86f-0d8d34f58096	Synonymy of Reikosiella Yoshimoto under Merostenus Walker (Hymenoptera: Chalcidoidea: Eupelmidae), with a checklist of world species and a revision of those species with brachypterous females	Gibson, Gary A. P. (2017): Synonymy of Reikosiella Yoshimoto under Merostenus Walker (Hymenoptera: Chalcidoidea: Eupelmidae), with a checklist of world species and a revision of those species with brachypterous females. Zootaxa 4255 (1): 1-65, DOI: 10.5281/zenodo.556479	3
10.15468/wqmjjt	13b70480-bd69-11dd-b15f-b8a03c50a862	AntWeb		49
10.15468/cl6p3l	6a0a95c6-c07a-4c35-9e9f-f776e8730fd4	Naturalis Biodiversity Center (NL) - Diptera		2
10.15468/7apj8n	33614778-513a-4ec0-814d-125021cca5fe	Global compendium of Aedes albopictus occurrence	Global compendium of Aedes albopictus occurrence	1
10.5281/zenodo.5159515	c9232a85-5a09-440a-9ede-102073e7b6f0	ODONATA, DRAGONFLIES OF GUAM	SWEZEY, O. H., WILLIAMS, F. X. (1942): ODONATA, DRAGONFLIES OF GUAM. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 172: 3-6, DOI: http://doi.org/10.5281/zenodo.5159515	70
10.5281/zenodo.5160090	5728a9af-6e4a-46e1-a28e-5e4aa1cb9a6f	Strepsiptera of Guam	Swezey, O. H. (1942): Strepsiptera of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 173, DOI: http://doi.org/10.5281/zenodo.5160090	2
10.18165/9enbmt	8971dfba-f762-11e1-a439-00145eb45e9a	University of Alberta E. H. Strickland Entomological Museum (UASM)	(2023): University of Alberta E. H. Strickland Entomological Museum (UASM). v17.77. University of Alberta Museums. Dataset/Occurrence. https://doi.org/10.18165/9enbmt	8
10.15468/4fnqq9	0f188bfc-2537-4863-90b7-3b5f856dc87e	Coleoptera World (Luomus) (EC)		1
10.5519/0002965	7e380070-f762-11e1-a439-00145eb45e9a	Natural History Museum (London) Collection Specimens	Natural History Museum (2015): Collection specimens https://data.nhm.ac.uk.	410
10.5281/zenodo.5159835	0f4ee0b0-7d0e-443c-b4c9-0b40ecd08854	Anthribidae Of Guam	Zimmerman, Elwood C. (1942): Anthribidae Of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 65-72, DOI: http://doi.org/10.5281/zenodo.5159835	34
10.5281/zenodo.5127686	7b960500-f4a3-4b8f-8b56-440fdc9431c9	SOME MISCELLANEOUS DIPTERA OF GUAM	O. H. Swezey (1946): SOME MISCELLANEOUS DIPTERA OF GUAM. In: Insects of Guam-II. Hawaii, Honolulu: Bernice P. Bishop Museum: 195-200, DOI: http://doi.org/10.5281/zenodo.5127686	66
10.5281/zenodo.5174008	62345736-dcf6-4c38-a870-36a90992dabb	Homoptera, Fulgoroidea and Jassoidea of Guam	Metcalf, Z. P. (1946): Homoptera, Fulgoroidea and Jassoidea of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum Bulletin 189: 105-148, DOI: http://doi.org/10.5281/zenodo.5174008	119
10.5281/zenodo.5159923	592c9898-f961-4f9b-a833-5de174eb834b	Neuropteroid Insects from Guam	Banks, Nathan (1942): Neuropteroid Insects from Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 25-30, DOI: http://doi.org/10.5281/zenodo.5159923	58
10.15468/caprqh	96193ea2-f762-11e1-a439-00145eb45e9a	Texas A&M University Insect Collection		6
